zip,donations,estimate,total,donations_per_1000
21794,384,2277,21564.38999999999,168.6429512516469
21795,917,9147,23988.369999999977,100.25144856237017
21797,2300,8873,90915.01000000056,259.21334385213567
21798,453,2057,9415.339999999993,220.22362664073893
21801,2279,29866,50766.34,76.3075068639925
21802,43,90,2320.959999999999,477.77777777777783
21804,4477,40877,63720.600000000406,109.52369303031044
21810,75,814,2913.13,92.13759213759214
21811,3477,24071,115303.71000000108,144.4476756262723
21813,503,2672,11720.36,188.24850299401197
21814,5,268,267.12,18.656716417910445
21817,551,4515,19574.94999999999,122.0376522702104
21821,73,871,5392.68,83.81171067738231
21822,182,1687,10207.600000000002,107.88381742738589
21824,8,101,294.93,79.20792079207921
21826,1033,5325,11213.05,193.9906103286385
21829,6,401,113.99,14.962593516209475
21830,231,4060,9891.73,56.896551724137936
21835,19,337,622.25,56.37982195845697
21837,85,3200,2525.719999999999,26.5625
21838,168,1657,2872.4799999999996,101.38805069402534
21840,8,438,342.2,18.2648401826484
21841,80,1580,2151.8799999999997,50.63291139240506
21842,6872,10655,94323.41000000104,644.9554199906148
21849,320,3577,9043.979999999998,89.46044171093095
21850,98,2935,1950.46,33.39011925042589
21851,1760,6949,13319.82000000002,253.27385235285655
21853,189,11957,7985.15,15.80664046165426
21856,116,875,1575.8899999999996,132.57142857142856
21861,30,689,750.4300000000003,43.54136429608128
21862,7,90,266.86,77.77777777777779
21863,502,4657,14885.14,107.79471762937513
21864,62,548,422.49,113.13868613138686
21865,553,594,5861.259999999992,930.9764309764311
21869,162,1145,3811.920000000001,141.48471615720524
21871,6748,2198,28618.619999999828,3070.063694267516
21872,67,379,1340.1700000000003,176.7810026385224
21874,289,1874,5033.470000000003,154.2155816435432
21875,571,6676,7865.319999999991,85.53025763930496
21901,1807,16790,37834.40000000001,107.62358546754021
21903,722,5947,9080.169999999973,121.40575079872204
21904,429,7075,10706.209999999994,60.63604240282686
21911,2860,11130,39679.05000000002,256.96316262354
21912,116,1139,4251.120000000001,101.84372256365234
21913,40,880,1308.4999999999995,45.45454545454545
21914,28,860,1399.7300000000002,32.55813953488372
21915,262,2949,10522.589999999998,88.84367582231265
21917,138,2127,3712.3899999999994,64.88011283497885
21918,682,3692,13136.439999999982,184.7237269772481
21919,193,2919,7736.6,66.11853374443302
21920,8,491,227.88,16.293279022403258
21921,6986,46162,117748.40000000056,151.33659720116114
21930,1,132,312.3,7.575757575757576
